Name,Value.NAME,Value.SOURCE,Value.DESCRIPTION,Value.WHENTOUSE,Value.CATEGORY,Value.TYPE,Value.MANDATORY,Value.TANDP
data,"<a href=""https//blog.canada.ca/research-summaries/wayfinding-on-canada-ca"">Wayfinding on Canada.ca</a>",Research summary,explains the context of the research and the insights that drove the design updates,Explains the context of the research and the insights that drove the design updates,,,,0
data,"<a href=""https//blog.canada.ca/2022/12/21/wayfinding-research-project"">Wayfinding research project improves our approach to navigation on Canada.ca</a>",Blog post,"explains the changes that are being made to the Canada.ca design, and how they are being implemented","explains the changes that are being made to the Canada.ca design, and how they are being implemented",,,,0
data,"<a href=""https//blog.canada.ca/2022/09/23/introducing-contextual-sign-in-button"">Introducing the contextual Sign in button</a>",Blog post,Add a contextual Sign in button to the Canada.ca header on pages where people need to sign in to an account,Add a contextual Sign in button to the Canada.ca header on pages where people need to sign in to an account,,,,0
data,"<a href=""https//design.canada.ca/continuous-improvement/monitoring/feedback.html"">Page feedback tool</a>",Continuous improvement,The feedback tool is an optional pattern to uncover specific page-level issues affecting task performance.,The feedback tool is an optional pattern to uncover specific page-level issues affecting task performance.,Design pattern,Interaction,No,1
data,"<a href=""https//blog.canada.ca/2021/04/08/using-interactive-questions.html"">The magic of using interactive questions</a>",Blog post,This pattern is used to present people with a sequence of simple questions that leads to the specific answer they need to continue with or complete their task.,This pattern is used to present people with a sequence of simple questions that leads to the specific answer they need to continue with or complete their task.,,,,0
data,"<a href=""https//blog.canada.ca/2021/03/25/maintaining-web-content.html"">Maintaining and improving web content through its life cycle</a>",Blog post,Small changes make a big difference to improve Canada.ca. Let�s continue the discussion on data to action. Here are 4 common issues and actions you can take.,Small changes make a big difference to improve Canada.ca. Let�s continue the discussion on data to action. Here are 4 common issues and actions you can take.,,,,0
data,"<a href=""https//blog.canada.ca/2021/03/01/work-with-call-centres.html"">The importance of working with call centres</a>",Blog post,Using call center data can help you improve your web content and services with real people in mind.,Using call center data can help you improve your web content and services with real people in mind.,,,,0
data,"<a href=""https//blog.canada.ca/2021/02/04/data-to-action.html"">Using data to make better content</a>",Blog post,We wanted to share some of our most recent experiences with using data to make important content work better.,We wanted to share some of our most recent experiences with using data to make important content work better.,,,,0
data,"<a href=""https//blog.canada.ca/2020/12/18/2020-silver-linings.html"">Silver linings from 2020</a>",Blog post,"It almost feels like an understatement to say that 2020 has been a challenging year filled with a lot of change. Despite the challenges, there have been many silver linings.","It almost feels like an understatement to say that 2020 has been a challenging year filled with a lot of change. Despite the challenges, there have been many silver linings.",,,,0
data,"<a href=""https//blog.canada.ca/2020/11/12/interactive-checklists.html"">Using interactive checklists to simplify eligibility criteria</a>",Blog post,How interactive checklists can help people slow down and pay attention to eligibility criteria.,How interactive checklists can help people slow down and pay attention to eligibility criteria.,,,,0
