need,sector,size,region,slide_label,program_name,name_fr,fr_source,org,url_en,url_fr,status,note
financing;liquidity,sector-agnostic,1to5m;5mplus;large;nonprofit,national,BDC Pivot to Grow,Pivot to Grow Loan,Prêt Pivoter pour se propulser,canada.ca h1,BDC,https://www.bdc.ca/en/financing/pivot-grow-loan,https://www.bdc.ca/fr/financement/pret-pivoter-propulser,verified,"Correct name is 'Pivot to Grow Loan'. Up to $5M, open to 2028-03-31. One page covers three streams (Liquidity, Pivot, Equipment) - hence need=financing;liquidity on this one row rather than a second row naming the Liquidity stream, which had no URL of its own. RENDERED NAME IS 'Pivot to Grow Loan' - the slide_label column deliberately keeps the deck's shorter 'BDC Pivot to Grow' as the archival record of what the deck got wrong; slide_label never renders. Pinned by test_pivot_to_grow_is_named_in_full. BDC eligibility: $1M+ annual revenue (GATED - excludes under-1m), 3 years in business, historically positive cash flow, minimum 15% of sales from exports to the U.S. The last three are not gated: no Q3 answer fits years-in-business or cash flow, and the 15% export test is the exposure threshold the DM ruled out as a triage question (BDC 15% vs RTRI 25% - the reason this tool triages by size instead). Under-1m businesses are not left empty-handed in financing: BDC's Equipment Loan row below has no revenue floor."
financing,sector-agnostic,,national,BDC Equipment Financing,Equipment Loan,Prêt pour équipement,canada.ca h1,BDC,https://www.bdc.ca/en/financing/equipment-loan,https://www.bdc.ca/fr/financement/pret-equipement,ambiguous,"This is BDC's standard equipment loan, NOT tariff-specific. Pivot to Grow Loan already contains an Equipment Financing stream. Confirm which one slide 5 means - but they are demonstrably different products: this one's criteria are Canada-based, 12+ months generating revenue, profitable, good credit history, for smaller amounts. NO revenue floor - the blank size column is verified, not unchecked, and deliberately unlike the Pivot to Grow Loan row above ($1M+). That difference is load-bearing: this is what an under-1m business still sees in financing once Pivot to Grow Loan is gated away from them. Do not gate it to match."
financing,sector-agnostic,,national,EDC - Working Capital Support,Working Capital Guarantees,Garanties de fonds de roulement,canada.ca h1,EDC,https://www.edc.ca/en/solutions/working-capital-guarantees.html,https://www.edc.ca/fr/solutions/garanties-fonds-roulement.html,verified,
financing,sector-agnostic,5mplus;large,national,EDC - Export Financing Loans,Direct lending,Prêts directs,canada.ca h1,EDC,https://www.edc.ca/en/solutions/financing/direct-lending.html,https://www.edc.ca/fr/solutions/financement/prets-directs.html,verified,"Was the generic /solutions/financing.html hub named 'Financing solutions', whose FR name ('Prets pour les exportateurs et les acheteurs') described a different thing than its EN name - repointed to the specific direct-lending page. Both h1s read off the live pages 2026-09-03: EN 'Direct lending', FR 'Prets directs'. FR URL is the one the EN page's own language toggle targets; /fr/solutions/financing/direct-lending.html also returns 200 but the slugged path matches the sibling EDC rows. EDC eligibility: annual revenue $10M+, seeking at least $1M in funding, investing in global expansion, needs export-capacity support. PARTIAL GATE - $10M falls INSIDE the size-5mplus bucket ('$5 million or more'), so 5mplus is kept and a $5M-$10M business still sees a program it does not qualify for. under-1m and 1to5m are excluded because they are certainly below $10M; nonprofit is excluded because this is direct lending to companies pursuing international growth. Second threshold to straddle a Q3 bucket, after CED's $2M - see the Q3 buckets note in how-this-wizard-works.md."
liquidity,sector-agnostic,large,national,CEEFC Large Enterprise Tariff Loan Facility,Large Enterprise Tariff Loan (LETL),Crédit pour les grandes entreprises touchées par les droits de douane (CGETDD),composed: h1 is the corporation name; acronym from the page title and URL,CEEFC / CDEV,https://ceefc-cfuec.ca/letl-overview/,https://ceefc-cfuec.ca/fr/cgetdd/,verified,"Factsheet: https://ceefc-cfuec.ca/letl-factsheet/. Not in the original deck. size=large gates this. Colleague-verified eligibility: minimum loan size $60M; applicant must have approximately $150M or more in annual Canadian revenue and be otherwise viable prior to the tariffs and countermeasures. The Q3 large-enterprise answer says 'Larger enterprise' (not 'Large') on purpose - the $150M threshold is well above what a business would guess from 'large.'"
liquidity;transformation,sector-agnostic,1to5m;5mplus;large;nonprofit,national,RDA Regional Tariff Response Initiative,Regional Tariff Response Initiative (national hub),Initiative régionale de réponse tarifaire,canada.ca h1,ISED / RDAs,https://ised-isde.canada.ca/site/ised/en/regional-tariff-response-initiative,https://ised-isde.canada.ca/site/isde/fr/linitiative-regionale-reponse-tarifaire,verified,"Use this hub, NOT canada.ca/.../rtri-rda.html which 302-redirects here. FR slug carries the elided article (linitiative-). One row for both needs, matching the regional RTRI rows below. Gated to match them too: every one of the seven RDAs requires $1M+ (CED requires $2M+), so an under-1m business qualifies for RTRI NOWHERE in Canada. Left ungated, this hub was the only RTRI result they saw - an umbrella link with every regional panel correctly hidden beneath it, which reads as a broken page rather than an ineligibility. They still reach their RDA via the rda_url link at the foot of the results. RESIDUAL: a $1M-$2M Quebec business still sees this hub with no Quebec panel, because CED's $2M floor is not expressible in the Q3 buckets. WHY nonprofit IS IN THE GATE (canonical note for all 8 RTRI rows): this hub describes RTRI as equipping 'SMEs, and the organizations that support them' - two distinct populations, not one. Every revenue floor that states a subject states an SME one (FedNor 'SMEs must have... at least $1 million', ACOA 'SME must have... at least $1M', CED 'Be a manufacturing SME'), so the floor is an SME criterion and does not reach a board of trade or industry association. That is why nonprofit sits alongside the $1M+ buckets rather than being excluded with under-1m. Four RDA pages were read only for their revenue fragment and give no subject, so this is reasoning from the hub plus the two pages that do - not a quoted non-profit eligibility rule."
transformation,sector-agnostic,,national,ISED Strategic Response Fund,Strategic Response Fund (SRF),Fonds de réponse stratégique (FRS),canada.ca h1,ISED,https://ised-isde.canada.ca/site/ised/en/programs-and-initiatives/strategic-response-fund,https://ised-isde.canada.ca/site/isde/fr/programmes-initiatives/fonds-reponse-strategique,verified,How to apply: /how-apply. Program guide: /program-guide.
transformation,sector-agnostic,,national,EDC Market Diversification Support,Market diversification guide,Diversification des marchés,canada.ca h1,EDC,https://www.edc.ca/en/guide/market-diversification.html,https://www.edc.ca/fr/guide/diversification-des-marches.html,weak,"Content guide, not a program with an intake. No apply endpoint exists."
transformation,sector-agnostic,,national,GAC Trade Commissioner Service,TCS - US tariffs support for exporters,Soutien pour les exportateurs canadiens face aux droits de douane imposés par les États-Unis,canada.ca h1,GAC,https://www.tradecommissioner.gc.ca/en/market-industry-info/search-country-region/country/canada-united-states-export/us-tariffs.html,https://www.deleguescommerciaux.gc.ca/fr/infos-marche-industrie/recherche-pays-region/pays/canada-etats-unis-exportation/tarifs-eu.html,verified,Tariff-specific page. TCS homepage if a general link is wanted: https://www.tradecommissioner.gc.ca/en.html / https://www.deleguescommerciaux.gc.ca/fr.html
workforce,sector-agnostic,,national,ESDC Rapid Response Supports for Workers and Employers,(no program by this name),,,ESDC,,,no-page,"BLOCKER. Announcement language from the 2026-08-25 release, not a published program. Also appears on slides 4 and 6. Replace with the two rows below."
